Référence,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
L 2 15.03,Règlement sur la manœuvre de l’ouvrage de régularisation du niveau du lac Léman à Genève (RMORN),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 30,Loi sur l’énergie (LEn),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 30.01,Règlement d’application de la loi sur l’énergie (REn),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 30.03,Arrêté fixant le prix moyen du mégajoule par agent énergétique (ArPMAE),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 30.08,Règlement de la commission consultative sur les questions énergétiques (RCCQE),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 30.09,Règlement relatif à la commission consultative du réseau de distribution de chaleur à partir de l’usine des Cheneviers (RCadiom),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 35,Loi sur l’organisation des Services industriels de Genève (LSIG),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 35.06,"Règlement concernant l’élection de 3 membres du conseil d’administration des Services industriels de Genève par les conseillers municipaux du canton, à l’exception de ceux de la Ville de Genève (RCASIM)",L,L 2,Eaux et énergies,Domaine public et travaux
L 2 35.10,Règlement d'application de l'article 1A de la loi sur l'organisation des Services industriels de Genève (RSIG-1A),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 40,Loi instituant 2 fonds pour le développement des énergies renouvelables et les économies d’énergie (LFDER),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 40.01,Règlement d’application de la loi instituant 2 fonds pour le développement des énergies renouvelables et les économies d’énergie (RFDER),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 45,Loi sur le financement de projets d’assainissement énergétique des bâtiments et sur l’ouverture de crédits d’investissement (LFAEB),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 50.01,Règlement d'application de la loi 12936 ouvrant un crédit d'investissement de 10 000 000 de francs en faveur du développement d'un plan hydrogène cantonal (RDPH),L,L 2,Eaux et énergies,Domaine public et travaux
L 3 05,Loi sur les ressources du sous-sol (LRSS),L,L 3,Sous-sol,Domaine public et travaux
L 3 05.01,Règlement d’application de la loi sur les mines (RMines),L,L 3,Sous-sol,Domaine public et travaux
L 3 10,Loi sur les gravières et exploitations assimilées (LGEA),L,L 3,Sous-sol,Domaine public et travaux
L 3 10.03,Règlement d’application de la loi sur les gravières et exploitations assimilées (RGEA),L,L 3,Sous-sol,Domaine public et travaux
L 4 05,"Loi sur la protection des monuments, de la nature et des sites (LPMNS)",L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 05.01,"Règlement d’application de la loi sur la protection des monuments, de la nature et des sites (RPMNS)",L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 05.04,Règlement sur la conservation de la végétation arborée (RCVA),L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 05.08,Règlement relatif à la mise à ban temporaire d’emplacements dignes d’intérêt au titre de la protection de la nature (RMABT),L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 05.11,"Règlement sur la protection du paysage, des milieux naturels et de la flore (RPPMF)",L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 10,Loi sur la protection générale des rives du lac (LPRLac),L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 13,Loi sur la protection générale des rives du Rhône (LPRRhône),L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 16,Loi sur la protection générale et l’aménagement des rives de l’Arve (LPRArve),L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 4 19,Loi sur la protection générale et l'aménagement des rives de la Versoix (LPRVers),L,L 4,"Monuments et sites, décoration",Domaine public et travaux
L 5 05,Loi sur les constructions et les installations diverses (LCI),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.01,Règlement d’application de la loi sur les constructions et les installations diverses (RCI),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.03,Règlement sur les chantiers (RChant),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.06,Règlement concernant l'accessibilité des constructions et installations diverses (RACI),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.08,Règlement concernant les ascenseurs et monte-charges (RAsc),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.10,Règlement relatif aux places de stationnement sur fonds privés (RPSFP),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.20,Règlement sur les campings (RCamp),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 05.24,Règlement relatif à l’installation et à l’utilisation d’appareils employant comme dissolvant des hydrocarbures chlorés (RAHC),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 07,Accord intercantonal sur l’élimination des entraves techniques au commerce (AIETC),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 07.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur l’élimination des entraves techniques au commerce (L-AIETC),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 11,Loi sur l’emploi du plomb et de ses composés dans les travaux publics et dans les travaux privés du bâtiment (LPlomb),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 15,Loi sur les obligations des entrepreneurs de chantiers en cas d’accidents (LOECA),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 20,"Loi sur les démolitions, transformations et rénovations de maisons d’habitation (mesures de soutien en faveur des locataires et de l’emploi) (LDTR)",L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 20.01,"Règlement d’application de la loi sur les démolitions, transformations et rénovations de maisons d’habitation (RDTR)",L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 20.03,"Arrêté déterminant les catégories de logements où sévit la pénurie en vue de l’application des articles 25 à 39 de la loi sur les démolitions, transformations et rénovations de maisons d’habitation (ArAppart)",L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 20.05,Arrêté relatif à la révision des loyers répondant aux besoins prépondérants de la population (ArRLoyers),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 25,Loi sur le ramonage et les contrôles spécifiques des émanations de fumée (LRam),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 25.01,Règlement d’application de la loi sur le ramonage et les contrôles spécifiques des émanations de fumée (RRam),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 30.02,Règlement d’application de la loi fédérale sur les substances explosibles (matières explosives et engins pyrotechniques) (RaLExpl),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 40,Loi sur l’exercice des professions d’architecte et d’ingénieur (LPAI),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 5 40.01,Règlement d’application de la loi sur l’exercice des professions d’architecte et d’ingénieur (RPAI),L,L 5,"Police des constructions, sécurité publique",Domaine public et travaux
L 6 05,Accord intercantonal sur les marchés publics (AIMP),L,L 6,Adjudications et redevances,Domaine public et travaux
L 6 05.0,Loi autorisant le Conseil d’Etat à adhérer à l’accord intercantonal sur les marchés publics (L-AIMP),L,L 6,Adjudications et redevances,Domaine public et travaux
L 6 05.01,Règlement sur la passation des marchés publics (RMP),L,L 6,Adjudications et redevances,Domaine public et travaux
L 6 10.04,Règlement relatif aux fermes et loyers cantonaux (RFL),L,L 6,Adjudications et redevances,Domaine public et travaux
L 7 05,Loi sur l’expropriation pour cause d’utilité publique (LEx-GE),L,L 7,Expropriation,Domaine public et travaux
M 1 05,Loi sur les améliorations foncières (LAmF),M,M 1,"Améliorations foncières, droit foncier rural","Agriculture, forêts, chasse et pêche"
M 1 05.01,Règlement d’application de la loi sur les améliorations foncières (RAmF),M,M 1,"Améliorations foncières, droit foncier rural","Agriculture, forêts, chasse et pêche"
M 1 10,Loi d’application de la loi fédérale sur le droit foncier rural (LaLDFR),M,M 1,"Améliorations foncières, droit foncier rural","Agriculture, forêts, chasse et pêche"
M 1 10.01,Règlement d’exécution de la loi d’application de la loi fédérale sur le droit foncier rural (RaLDFR),M,M 1,"Améliorations foncières, droit foncier rural","Agriculture, forêts, chasse et pêche"
M 1 15,Loi d’application de la loi fédérale sur le bail à ferme agricole (LaLBFA),M,M 1,"Améliorations foncières, droit foncier rural","Agriculture, forêts, chasse et pêche"
M 2 05,Loi sur la promotion de l’agriculture (LPromAgr),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 05.01,Règlement d’application de la loi sur la promotion de l’agriculture (RPromAgr),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 25,Loi sur la police rurale (LPRur),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 25.01,Règlement d’application de la loi sur la police rurale (RPRur),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 30,Loi d’application des ordonnances fédérales sur les contributions versées aux exploitants agricoles (LaOCEA),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 30.01,Règlement d’exécution de la loi d’application des ordonnances fédérales sur les contributions versées aux exploitants agricoles (RaOCEA),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 40,Loi pour la sauvegarde et le développement des jardins familiaux (LSDJF),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 50,Loi sur la viticulture (LVit),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 2 50.05,Règlement sur la vigne et les vins de Genève (RVV),M,M 2,Agriculture et viticulture,"Agriculture, forêts, chasse et pêche"
M 3 10.03,Règlement relatif à l’encouragement de la production animale et de l’estivage de proximité (REPAEP),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 15.06,Règlement concernant l’estivage (REstiv),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 20.02,Règlement d’application de la loi fédérale sur les épizooties (RaLFE),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 25,Loi sur le fonds cantonal des épizooties (LFCE),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 25.03,Règlement relatif au fonds cantonal des épizooties (RFCE),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 45,Loi sur les chiens (LChiens),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 45.01,Règlement d’application de la loi sur les chiens (RChiens),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 45.03,Règlement relatif à l’examen pour moniteur canin agréé (REMCA),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 50.02,Règlement d’application de la loi fédérale sur la protection des animaux (RaLPA),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 3 50.07,Règlement de la fourrière cantonale (RFour),M,M 3,Animaux,"Agriculture, forêts, chasse et pêche"
M 4 03,Concordat sur la pêche dans le lac Léman (CPL),M,M 4,Chasse et pêche,"Agriculture, forêts, chasse et pêche"
M 4 03.0,Loi approuvant le concordat sur la pêche dans le lac Léman (L-CPL),M,M 4,Chasse et pêche,"Agriculture, forêts, chasse et pêche"
M 4 03.01,Règlement d’exécution du concordat intercantonal sur la pêche dans le lac Léman (RCPL),M,M 4,Chasse et pêche,"Agriculture, forêts, chasse et pêche"
M 4 06,Loi sur la pêche (LPêche),M,M 4,Chasse et pêche,"Agriculture, forêts, chasse et pêche"
M 4 06.01,Règlement d’application de la loi sur la pêche (RPêche),M,M 4,Chasse et pêche,"Agriculture, forêts, chasse et pêche"
M 5 05,Loi sur la faune (LFaune),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 05.01,Règlement d’application de la loi sur la faune (RFaune),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 10,Loi sur les forêts (LForêts),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 10.01,Règlement d’application de la loi sur les forêts (RForêts),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 10.08,"Règlement concernant la circulation des véhicules automobiles et des cyclomoteurs dans les forêts, sites protégés, secteurs mis à ban et les cultures (RCVF)",M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 15,Loi sur la biodiversité (LBio),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 15.01,Règlement d’application de la loi sur la biodiversité (RBio),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 25,Loi sur les gardes de l’environnement et autres agents techniques chargés de fonctions de police (LGE),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 25.03,"Règlement sur l’organisation des offices cantonaux chargés de l’agriculture, de la nature et de l’eau (ROCANE)",M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 30,Loi visant à promouvoir des mesures en faveur de la biodiversité et de la qualité du paysage en agriculture (LMBA),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 30.01,Règlement d'application de la loi visant à promouvoir des mesures en faveur de la biodiversité et de la qualité du paysage en agriculture (RMBA),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
M 5 38,Loi instituant une commission consultative de la diversité biologique (LCCDB),M,M 5,Protection de la nature,"Agriculture, forêts, chasse et pêche"
